question,intent
hello,greeting
hi,greeting
hey,greeting
good morning,greeting
good evening,greeting
how are you,greeting
hello chatbot,greeting
hi there,greeting
good afternoon,greeting
hey bot,greeting
what can you help me with,greeting
i need guidance,greeting
can you help me,greeting
i have a question,greeting
please help me,greeting

what are career options after graduation,career
what career paths can i choose,career
what jobs can i get after degree,career
which profession is best for me,career
what are the best careers for students,career
what can i do after completing my degree,career
what are the career opportunities available,career
what is the best career for future,career
which career has good salary,career
how to choose a career path,career
what are high paying careers,career
which field has most job opportunities,career
what careers are in demand,career
what is the scope of engineering,career
what jobs are available for science students,career

how can i improve my skills,skills
what skills are required for job,skills
what skills should students learn,skills
how to develop technical skills,skills
how to improve analytical skills,skills
how to improve problem solving skills,skills
important skills for career,skills
what are most demanded skills in job market,skills
how can i build professional skills,skills
what are important employability skills,skills
what soft skills are needed for job,skills
how to learn new skills fast,skills
which technical skills are in demand,skills
how to build leadership skills,skills
what skills do companies look for,skills

how to prepare a resume,resume
how to write a resume,resume
how to create a resume,resume
resume preparation tips,resume
what should be included in resume,resume
resume format for freshers,resume
how to build my resume,resume
how to make a professional resume,resume
best way to prepare resume,resume
resume writing tips,resume
how to write objective in resume,resume
what to put in resume with no experience,resume
how long should a resume be,resume
how to list skills in resume,resume
how to add projects in resume,resume

how to prepare for interview,interview
how to attend interview confidently,interview
interview preparation tips,interview
how to answer interview questions,interview
how to clear hr interview,interview
how to crack technical interview,interview
what are common interview questions,interview
how to prepare for job interview,interview
interview tips for students,interview
how to face interview confidently,interview
how to answer tell me about yourself,interview
what to wear for interview,interview
how to prepare for online interview,interview
how to handle difficult interview questions,interview
what questions to ask interviewer,interview

which platform is best for online learning,courses
what are best mooc platforms for students,courses
how to get certified in programming,courses
which certification is best for freshers,courses
how to choose right certification,courses
which online certification helps get job,courses
how to get free certification online,courses
best certification to learn after graduation,courses
which certification is trending in 2024,courses
how to learn programming from scratch,courses
best certification for it job,courses
which certification improves my salary,courses
how to get internship through online learning,courses
best google certificate for students,courses
which coursera certification is free,courses

should i study higher studies,higher_studies
what can i study after graduation,higher_studies
should i pursue masters after graduation,higher_studies
is post graduation worth doing,higher_studies
what are higher study options,higher_studies
best higher studies after graduation,higher_studies
what are benefits of doing masters degree,higher_studies
can i study abroad,higher_studies
which masters degree is good,higher_studies
what are post graduation options,higher_studies
is phd worth doing,higher_studies
how does higher education improve career,higher_studies
what is value of post graduation degree,higher_studies
should i do job or higher studies,higher_studies
which country is best for higher studies,higher_studies

how to become a software developer,software_career
what should i learn for programming,software_career
how to start software career,software_career
skills needed for software job,software_career
how to become web developer,software_career
software career path,software_career
how to get job in software company,software_career
what programming languages should i learn,software_career
how to become full stack developer,software_career
how to start coding career,software_career
how to become backend developer,software_career
how to become frontend developer,software_career
what is scope of software engineering,software_career
how to crack software company interview,software_career
which company is best for software job,software_career
what profession should i choose after college,career
which job field is growing fast,career
what are emerging career fields,career
which sector has stable employment,career
what are career trends in india,career

how to become data analyst,data_career
what should i study for data analytics,data_career
how to start data science career,data_career
skills required for data analyst,data_career
how to become ai engineer,data_career
how to start machine learning career,data_career
courses for data science,data_career
how to learn python for data science,data_career
career in artificial intelligence,data_career
future of data science careers,data_career
what is scope of data science,data_career
how to become machine learning engineer,data_career
salary of data scientist,data_career
how to get data analyst job,data_career
tools needed for data science,data_career

how to improve communication skills,communication
how to speak confidently,communication
how to improve public speaking,communication
how to talk confidently in interview,communication
communication skills for students,communication
how to overcome fear of speaking,communication
how to improve presentation skills,communication
how to talk effectively with people,communication
how to become confident speaker,communication
tips to improve communication skills,communication
how to improve english speaking,communication
how to present ideas clearly,communication
how to write professional emails,communication
how to improve listening skills,communication
how to speak in group discussions,communication

how to plan my career,career_guidance
how to choose correct career,career_guidance
career planning tips,career_guidance
how to find my interest in career,career_guidance
how to decide future career,career_guidance
career guidance for students,career_guidance
how to select right profession,career_guidance
how to build successful career,career_guidance
career advice for graduates,career_guidance
how to plan my future career,career_guidance
how to set career goals,career_guidance
what factors to consider when choosing career,career_guidance
how to match career with interest,career_guidance
